Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",0,4.06,Crown Currency,Hardcover,260,2014,2011,,2021/02/09,to-read,to-read (#60),to-read,,,,0,0
18290401,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,"Kleon, Austin",,"=""076117897X""","=""9780761178972""",0,4.12,Workman Publishing Company,Paperback,215,2014,2014,,2021/02/05,to-read,to-read (#59),to-read,,,,0,0
34272565,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,"Tegmark, Max",Rob Shapiro,"=""0451485076""","=""9780451485076""",0,4.01,Random House Audio Publishing Group,Audio CD,384,2017,2017,,2021/02/04,to-read,to-read (#58),to-read,,,,0,0
97412,On the Shortness of Life: Life Is Long if You Know How to Use It (Penguin Great Ideas),Seneca,"Seneca, Seneca",C.D.N. Costa,"=""0143036327""","=""9780143036326""",0,4.18,Penguin Books,Paperback,106,2005,49,,2021/01/18,to-read,to-read (#57),to-read,,,,0,0
324750,High Output Management,Andrew S. Grove,"Grove, Andrew S.",,"=""0679762884""","=""9780679762881""",0,4.31,Vintage,Paperback,272,1995,1983,,2021/01/10,to-read,to-read (#56),to-read,,,,0,0
28951428,Radical Focus : Achieving Your Most Important Goals with Objectives and Key Results ( OKRs ),Christina Wodtke,"Wodtke, Christina",,"=""""","=""""",4,3.97,,Kindle Edition,147,2016,2016,2021/01/09,2020/12/27,,,read,,,,1,0
38657386,Leadership: In Turbulent Times,Doris Kearns Goodwin,"Goodwin, Doris Kearns",,"=""""","=""""",0,4.40,Simon & Schuster,Hardcover,473,2018,2018,,2021/01/03,to-read,to-read (#55),to-read,,,,0,0
34452,"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past Life Therapy That Changed Both Their Lives",Brian L. Weiss,"Weiss, Brian L.",,"=""0446520594""","=""9780446520591""",0,4.17,Grand Central Publishing,Hardcover,224,1996,1988,,2021/01/02,to-read,to-read (#54),to-read,,,,0,0
1220421,Competing by Design: The Power of Organizational Architecture,David A. Nadler,"Nadler, David A.",,"=""0195099176""","=""9780195099171""",0,3.86,Oxford University Press,Hardcover,256,1997,1997,,2020/12/17,to-read,to-read (#53),to-read,,,,0,0
222096,Organizational Culture and Leadership,Edgar H. Schein,"Schein, Edgar H.",,"=""0787975974""","=""9780787975975""",0,4.08,Jossey-Bass Inc Pub,Paperback,437,2004,1985,,2020/12/17,to-read,to-read (#52),to-read,,,,0,0
